Date,ABEV3.SA,AZUL4.SA,BTOW3.SA,B3SA3.SA,BBSE3.SA,BBDC4.SA,BBDC3.SA,BRAP4.SA,BBAS3.SA,BRKM5.SA,BRFS3.SA,CCRO3.SA,CMIG4.SA,CIEL3.SA,CSAN3.SA,CVCB3.SA,CYRE3.SA,ECOR3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,EQTL3.SA,YDUQ3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,HYPE3.SA,IGTA3.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,RENT3.SA,LAME4.SA,LREN3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PCAR4.SA,PETR4.SA,PETR3.SA,BRDT3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,SBSP3.SA,SANB11.SA,CSNA3.SA,SMLS3.SA,TAEE11.SA,VIVT4.SA,TIMP3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VVAR3.SA,WEGE3.SA
2020-01-02,19.200000762939453,58.79999923706055,65.18000030517578,44.62089538574219,33.81105041503906,37.2125244140625,35.16436767578125,38.029998779296875,52.341339111328125,30.399999618530273,35.880001068115234,18.5594425201416,13.579190254211426,8.559226989746094,70.21475219726562,44.709999084472656,30.241880416870117,16.299999237060547,34.21978759765625,34.68202590942383,20.200000762939453,21.648557662963867,22.94305992126465,45.88504409790039,30.290081024169922,20.72321319580078,9.655648231506348,37.16999816894531,35.35212707519531,53.97183609008789,38.18456268310547,13.992020606994629,37.25679016113281,26.585277557373047,18.470348358154297,49.39512634277344,26.78511619567871,56.65633773803711,49.00593185424805,10.0600004196167,22.200000762939453,33.54999923706055,89.80000305175781,30.697731018066406,31.583250045776367,29.93932342529297,39.19363021850586,114.4578628540039,26.399999618530273,58.56949996948242,48.60786437988281,14.659382820129395,30.25983238220215,29.98516845703125,53.65702438354492,15.672998428344727,25.279165267944336,9.610516548156738,54.33000183105469,11.729999542236328,34.99500274658203
2020-01-03,18.93000030517578,56.7599983215332,64.30000305175781,43.33498764038086,33.43833541870117,37.229644775390625,34.614112854003906,38.56999969482422,52.25377655029297,31.75,35.939998626708984,18.354310989379883,13.432440757751465,8.449365615844727,71.57576751708984,44.20000076293945,31.88471794128418,16.170000076293945,33.69994354248047,34.53867721557617,20.40999984741211,21.78688621520996,22.670276641845703,44.92317581176758,29.50849151611328,20.38381576538086,9.675597190856934,35.900001525878906,36.07880783081055,54.051063537597656,37.887821197509766,13.787260055541992,36.86492156982422,26.84917449951172,18.919870376586914,48.67839050292969,26.8350887298584,56.26220703125,48.56882095336914,10.279999732971191,22.200000762939453,33.54999923706055,89.66000366210938,30.4477481842041,30.803298950195312,29.76401138305664,40.00349426269531,111.90615844726562,25.6299991607666,57.56351852416992,48.57929229736328,14.549612998962402,30.070661544799805,29.94627571105957,54.135353088378906,15.702814102172852,24.98292350769043,9.511439323425293,53.93000030517578,11.479999542236328,34.548133850097656
2020-01-06,19.020000457763672,55.0,63.900001525878906,42.91954040527344,33.98854064941406,36.56465148925781,34.41558837890625,38.75,51.563026428222656,33.400001525878906,35.56999969482422,17.885440826416016,13.61832332611084,8.239629745483398,71.15473175048828,43.81999969482422,31.593090057373047,16.079999923706055,33.86127471923828,34.59243392944336,20.3799991607666,21.618915557861328,22.699501037597656,45.786895751953125,30.380712509155273,20.333906173706055,9.625722885131836,34.25,35.25392532348633,53.96193313598633,37.533634185791016,13.75800609588623,36.31631088256836,26.213865280151367,19.089691162109375,48.11097717285156,26.5252628326416,56.21294021606445,48.60855484008789,10.09000015258789,21.899999618530273,33.4900016784668,89.05000305175781,30.807720184326172,31.804716110229492,28.273862838745117,41.64323043823242,109.70331573486328,24.899999618530273,56.68328094482422,47.180625915527344,14.190362930297852,29.08696937561035,30.131010055541992,53.30062484741211,15.682936668395996,24.439817428588867,9.333100318908691,53.61000061035156,11.479999542236328,34.637508392333984
2020-01-07,19.059999465942383,56.81999969482422,63.7400016784668,44.30436325073242,34.00628662109375,35.9294319152832,33.82991027832031,38.91999816894531,51.17387008666992,32.529998779296875,35.15999984741211,18.285932540893555,14.117270469665527,7.999931812286377,72.43742370605469,44.400001525878906,31.69029998779297,16.440000534057617,34.73066329956055,35.12104034423828,20.5,21.490467071533203,22.582595825195312,44.932987213134766,30.694318771362305,20.653337478637695,9.695547103881836,34.45000076293945,34.91022491455078,54.120384216308594,37.78252029418945,13.572747230529785,35.47379684448242,26.683015823364258,19.149625778198242,48.5788459777832,25.995555877685547,56.183380126953125,48.469478607177734,10.399999618530273,22.0,33.58000183105469,88.8499984741211,30.68773078918457,31.37141227722168,28.23490333557129,40.58340072631836,108.1982192993164,25.270000457763672,55.71599197387695,47.08131790161133,14.190362930297852,29.578815460205078,29.77126693725586,53.41317367553711,15.851890563964844,24.98292350769043,9.422269821166992,54.0,11.649999618530273,34.90563201904297
2020-01-08,18.969999313354492,56.91999816894531,64.58999633789062,44.18566131591797,33.98854064941406,35.373619079589844,33.31372833251953,38.90999984741211,50.706886291503906,34.15999984741211,36.5099983215332,18.15894889831543,14.508601188659668,7.820157527923584,71.24285888671875,44.34000015258789,30.708484649658203,16.479999542236328,35.23257827758789,35.41670227050781,20.329999923706055,21.460824966430664,22.73847198486328,44.66798400878906,30.508113861083984,20.733196258544922,9.635698318481445,35.810001373291016,34.45850372314453,54.26892852783203,37.92610549926758,13.367985725402832,34.89578628540039,27.337873458862305,19.35940170288086,48.33993148803711,25.805660247802734,56.54795455932617,49.959625244140625,10.65999984741211,21.6200008392334,33.709999084472656,90.62000274658203,30.497743606567383,30.861072540283203,28.09855079650879,39.803531646728516,109.64351654052734,25.600000381469727,54.893795013427734,46.71388626098633,14.170404434204102,29.820955276489258,29.469858169555664,53.169315338134766,16.02084732055664,24.785430908203125,9.303377151489258,54.0099983215332,11.600000381469727,33.58487319946289
2020-01-09,18.81999969482422,57.279998779296875,68.04000091552734,44.1658821105957,33.89092254638672,34.80788040161133,32.98615264892578,38.40999984741211,49.675628662109375,34.849998474121094,36.84000015258789,17.71938133239746,14.391201972961426,7.340760707855225,70.4791259765625,43.38999938964844,30.552949905395508,16.43000030517578,35.268428802490234,35.93635559082031,20.190000534057617,21.994380950927734,23.011255264282227,45.060585021972656,31.076526641845703,20.623390197753906,9.645672798156738,36.650001525878906,35.19500732421875,54.25902557373047,39.39069747924805,13.104721069335938,34.20022201538086,27.670190811157227,19.239530563354492,48.5987548828125,26.505273818969727,56.114410400390625,51.73786544799805,10.90999984741211,21.459999084472656,33.5,91.69999694824219,30.39775276184082,31.034393310546875,27.358346939086914,40.09347915649414,112.94279479980469,25.93000030517578,55.73533630371094,45.830055236816406,14.020716667175293,30.396032333374023,29.100391387939453,53.10366439819336,15.80219841003418,24.834802627563477,9.243929862976074,53.29999923706055,11.65999984741211,33.088348388671875
2020-01-10,18.889999389648438,57.5,66.77999877929688,43.81967544555664,33.48823547363281,34.17266845703125,32.41040802001953,38.290000915527344,48.50816345214844,34.45000076293945,36.34000015258789,17.748687744140625,14.60643482208252,7.390698432922363,71.52681732177734,42.040000915527344,30.766809463500977,16.3700008392334,35.94063186645508,36.420166015625,20.110000610351562,22.39948844909668,23.284038543701172,45.25688552856445,30.5277156829834,20.902894973754883,9.855144500732422,37.2400016784668,35.38158416748047,54.20951461791992,39.40983581542969,13.0169677734375,33.89652633666992,27.52358055114746,19.738998413085938,47.633148193359375,26.455299377441406,56.29176712036133,51.45970153808594,10.75,21.25,33.150001525878906,90.58000183105469,30.26776123046875,30.909215927124023,27.465482711791992,40.643394470214844,109.44416809082031,25.670000076293945,55.53220748901367,45.63144302368164,14.180384635925293,30.449005126953125,29.60597801208496,53.750816345214844,16.219615936279297,24.775556564331055,9.055683135986328,53.36000061035156,11.699999809265137,33.76362228393555
2020-01-13,19.209999084472656,58.29999923706055,69.16999816894531,43.86913299560547,33.23983383178711,34.539894104003906,32.807464599609375,39.900001525878906,49.052978515625,34.0,36.70000076293945,17.87567138671875,15.017332077026367,7.420660495758057,73.35781860351562,41.599998474121094,31.350065231323242,16.649999618530273,36.03026580810547,36.545597076416016,20.459999084472656,22.39948844909668,23.2742977142334,46.817466735839844,30.380712509155273,21.801300048828125,10.373835563659668,38.0,36.52070617675781,55.78410339355469,39.744876861572266,13.192477226257324,34.34717559814453,28.080698013305664,20.218488693237305,47.782470703125,26.989999771118164,57.513572692871094,53.873741149902344,11.050000190734863,21.56999969482422,33.5,89.58999633789062,30.327756881713867,30.89958953857422,28.040115356445312,41.94318389892578,112.00584411621094,25.950000762939453,57.950435638427734,46.19749069213867,15.038591384887695,30.72140884399414,29.751819610595703,55.045108795166016,16.22955322265625,25.00267219543457,9.451992988586426,55.29999923706055,12.699999809265137,34.081398010253906
2020-01-14,19.100000381469727,59.189998626708984,68.3499984741211,44.1658821105957,33.63543701171875,34.50019454956055,32.876956939697266,40.279998779296875,48.79030227661133,34.27000045776367,36.54999923706055,18.471529006958008,15.173864364624023,7.480584621429443,75.69798278808594,42.5,31.593090057373047,17.360000610351562,35.402870178222656,35.97219467163086,20.3700008392334,22.39948844909668,23.81986427307129,47.79896545410156,30.83152198791504,21.382043838500977,10.124464988708496,37.9900016784668,37.129554748535156,55.6058464050293,39.47684860229492,13.338733673095703,34.34717559814453,28.05137825012207,20.89776611328125,47.981563568115234,27.8700008392334,56.78443145751953,53.6452522277832,11.359999656677246,22.049999237060547,34.0,90.0999984741211,29.99778175354004,30.649234771728516,28.04985237121582,42.95301818847656,113.6803970336914,25.799999237060547,59.20791244506836,45.561927795410156,14.799092292785645,30.94084930419922,29.693483352661133,54.82001876831055,16.299123764038086,25.279165267944336,9.491623878479004,55.63999938964844,13.350000381469727,34.75667190551758
2020-01-15,18.760000228881836,59.29999923706055,70.11000061035156,42.9788932800293,33.67223358154297,33.894752502441406,32.122535705566406,40.380001068115234,47.89524459838867,33.619998931884766,36.470001220703125,18.08080291748047,15.076031684875488,7.260861396789551,74.4544677734375,41.38999938964844,31.10704231262207,17.5,35.24154281616211,35.85572052001953,20.0,21.93509864807129,23.625019073486328,47.37691879272461,30.606117248535156,21.062610626220703,10.144414901733398,36.970001220703125,36.64836883544922,54.90272521972656,40.405372619628906,13.124222755432129,33.92591857910156,27.963411331176758,20.64803123474121,47.99151611328125,27.5,56.41000747680664,53.30748748779297,11.90999984741211,21.700000762939453,33.970001220703125,88.80000305175781,29.547813415527344,29.965572357177734,27.699230194091797,42.38311004638672,114.01929473876953,24.969999313354492,58.90805435180664,44.946224212646484,14.599508285522461,30.176597595214844,29.907384872436523,54.501129150390625,16.30906105041504,25.052047729492188,9.303377151489258,55.459999084472656,13.550000190734863,34.98507308959961
